,Team,Season,Venue,Wins,Loss,Win%,FT Made,FT Att,FT%,Win Rnk,Loss Rnk,Win% Rnk,FT Made Rnk,FT ATT Rnk,FT% Rnk
20,Oklahoma City Thunder,2012-13,Home,34,7,0.829,912,1092,0.835,4,4,4,1,3,1
21,Orlando Magic,2012-13,Home,12,29,0.293,507,675,0.751,30,30,30,29,29,17
22,Philadelphia 76ers,2012-13,Home,23,18,0.561,476,669,0.712,18,18,18,30,30,26
23,Phoenix Suns,2012-13,Home,17,24,0.415,599,819,0.731,26,26,26,26,27,23
24,Portland Trail Blazers,2012-13,Home,22,19,0.537,707,902,0.784,19,19,19,13,16,3
25,Sacramento Kings,2012-13,Home,20,21,0.488,791,1013,0.781,23,23,23,5,8,5
26,San Antonio Spurs,2012-13,Home,35,6,0.854,667,839,0.795,3,3,3,21,25,2
27,Toronto Raptors,2012-13,Home,21,20,0.512,715,926,0.772,21,21,21,12,14,9
28,Utah Jazz,2012-13,Home,30,11,0.732,740,971,0.762,8,8,8,10,11,12
29,Washington Wizards,2012-13,Home,22,19,0.537,706,955,0.739,19,19,19,15,12,21
30,Atlanta Hawks,2012-13,Road,19,22,0.463,563,763,0.738,9,10,10,28,28,22
31,Boston Celtics,2012-13,Road,14,27,0.341,643,809,0.795,17,17,17,21,23,6
32,Brooklyn Nets,2012-13,Road,23,18,0.561,708,955,0.741,5,5,5,8,7,21
33,Charlotte Bobcats,2012-13,Road,6,35,0.146,723,984,0.735,30,30,30,6,6,23
34,Chicago Bulls,2012-13,Road,21,20,0.512,658,846,0.778,8,8,8,18,19,8
35,Cleveland Cavaliers,2012-13,Road,10,31,0.244,673,893,0.754,25,25,25,16,14,16
36,Dallas Mavericks,2012-13,Road,17,24,0.415,645,801,0.805,13,13,13,20,24,2
37,Denver Nuggets,2012-13,Road,19,22,0.463,739,1059,0.698,9,10,10,4,3,29
38,Detroit Pistons,2012-13,Road,11,30,0.268,669,952,0.703,20,20,20,17,8,28
39,Golden State Warriors,2012-13,Road,19,22,0.463,674,842,0.8,9,10,10,15,20,5
40,Houston Rockets,2012-13,Road,16,25,0.39,747,1003,0.745,15,15,15,3,4,20
41,Indiana Pacers,2012-13,Road,19,21,0.475,677,899,0.753,9,9,9,14,13,17
42,Los Angeles Clippers,2012-13,Road,24,17,0.585,686,987,0.695,3,3,3,13,5,30
43,Los Angeles Lakers,2012-13,Road,16,25,0.39,836,1165,0.718,15,15,15,2,1,27
44,Memphis Grizzlies,2012-13,Road,24,17,0.585,705,918,0.768,3,3,3,9,10,9
45,Miami Heat,2012-13,Road,29,12,0.707,643,879,0.732,1,1,1,21,16,24
46,Milwaukee Bucks,2012-13,Road,17,24,0.415,589,814,0.724,13,13,13,26,22,26
47,Minnesota Timberwolves,2012-13,Road,11,30,0.268,710,949,0.748,20,20,20,7,9,18
48,New Orleans Hornets,2012-13,Road,11,30,0.268,698,869,0.803,20,20,20,11,17,4
49,New York Knicks,2012-13,Road,23,18,0.561,628,830,0.757,5,5,5,23,21,13
50,Oklahoma City Thunder,2012-13,Road,26,15,0.634,907,1104,0.822,2,2,2,1,2,1
51,Orlando Magic,2012-13,Road,8,33,0.195,519,684,0.759,26,26,26,30,30,12
52,Philadelphia 76ers,2012-13,Road,11,30,0.268,528,708,0.746,20,20,20,29,29,19
53,Phoenix Suns,2012-13,Road,8,33,0.195,604,799,0.756,26,26,26,24,25,14
54,Portland Trail Blazers,2012-13,Road,11,30,0.268,597,778,0.767,20,20,20,25,27,10
55,Sacramento Kings,2012-13,Road,8,33,0.195,646,856,0.755,26,26,26,19,18,15
56,San Antonio Spurs,2012-13,Road,23,18,0.561,698,886,0.788,5,5,5,11,15,7
57,Toronto Raptors,2012-13,Road,13,28,0.317,727,905,0.803,18,18,18,5,12,3
58,Utah Jazz,2012-13,Road,13,28,0.317,699,912,0.766,18,18,18,10,11,11
59,Washington Wizards,2012-13,Road,7,34,0.171,573,791,0.724,29,29,29,27,26,25
60,Atlanta Hawks,2013-14,Home,24,17,0.585,738,940,0.785,16,16,16,15,18,6
61,Boston Celtics,2013-14,Home,16,25,0.39,648,833,0.778,26,26,26,28,28,11
62,Brooklyn Nets,2013-14,Home,28,13,0.683,771,1028,0.75,8,8,8,10,10,22
63,Charlotte Bobcats,2013-14,Home,25,16,0.61,751,1010,0.744,15,15,15,14,11,25
64,Chicago Bulls,2013-14,Home,27,14,0.659,735,940,0.782,9,9,9,16,18,9
65,Cleveland Cavaliers,2013-14,Home,19,22,0.463,702,941,0.746,21,21,21,20,17,24
66,Dallas Mavericks,2013-14,Home,26,15,0.634,780,975,0.8,12,12,12,9,14,2
67,Denver Nuggets,2013-14,Home,22,19,0.537,783,1080,0.725,18,18,18,8,6,27
68,Detroit Pistons,2013-14,Home,17,24,0.415,722,1075,0.672,24,24,24,18,7,30
69,Golden State Warriors,2013-14,Home,27,14,0.659,642,819,0.784,9,9,9,29,29,7
70,Houston Rockets,2013-14,Home,33,8,0.805,955,1349,0.708,4,4,4,1,1,28
71,Indiana Pacers,2013-14,Home,35,6,0.854,767,972,0.789,1,1,1,12,15,5
72,Los Angeles Clippers,2013-14,Home,34,7,0.829,921,1259,0.732,2,2,2,2,2,26
73,Los Angeles Lakers,2013-14,Home,14,27,0.341,685,900,0.761,28,28,28,23,23,15
74,Memphis Grizzlies,2013-14,Home,27,14,0.659,665,885,0.751,9,9,9,25,24,21
75,Miami Heat,2013-14,Home,32,9,0.78,728,963,0.756,5,5,5,17,16,18
76,Milwaukee Bucks,2013-14,Home,10,31,0.244,678,906,0.748,29,29,29,24,22,23
77,Minnesota Timberwolves,2013-14,Home,24,17,0.585,919,1173,0.783,16,16,16,3,3,8
78,New Orleans Pelicans,2013-14,Home,22,19,0.537,766,989,0.775,18,18,18,13,12,13
79,New York Knicks,2013-14,Home,19,22,0.463,664,876,0.758,21,21,21,26,26,17
80,Oklahoma City Thunder,2013-14,Home,34,7,0.829,834,1052,0.793,2,2,2,6,8,3
81,Orlando Magic,2013-14,Home,19,22,0.463,686,884,0.776,21,21,21,22,25,12
82,Philadelphia 76ers,2013-14,Home,10,31,0.244,691,986,0.701,29,29,29,21,13,29
83,Phoenix Suns,2013-14,Home,26,15,0.634,785,1041,0.754,12,12,12,7,9,19
84,Portland Trail Blazers,2013-14,Home,31,10,0.756,768,933,0.823,7,7,7,11,20,1
85,Sacramento Kings,2013-14,Home,17,24,0.415,876,1139,0.769,24,24,24,4,4,14
86,San Antonio Spurs,2013-14,Home,32,9,0.78,621,798,0.778,5,5,5,30,30,10
87,Toronto Raptors,2013-14,Home,26,15,0.634,857,1085,0.79,12,12,12,5,5,4
88,Utah Jazz,2013-14,Home,16,25,0.39,704,926,0.76,26,26,26,19,21,16
89,Washington Wizards,2013-14,Home,22,19,0.537,656,872,0.752,18,18,18,27,27,20
90,Atlanta Hawks,2013-14,Road,14,27,0.341,654,842,0.777,19,19,19,24,26,5
91,Boston Celtics,2013-14,Road,9,32,0.22,677,873,0.775,26,26,26,20,23,7
92,Brooklyn Nets,2013-14,Road,16,25,0.39,737,974,0.757,17,17,17,10,10,15
93,Charlotte Bobcats,2013-14,Road,18,23,0.439,723,990,0.73,15,15,15,12,9,22
94,Chicago Bulls,2013-14,Road,21,20,0.512,751,968,0.776,12,12,12,8,12,6
95,Cleveland Cavaliers,2013-14,Road,14,27,0.341,696,920,0.757,19,19,19,18,20,16
96,Dallas Mavericks,2013-14,Road,23,18,0.561,598,758,0.789,4,4,4,28,30,4
97,Denver Nuggets,2013-14,Road,14,27,0.341,780,1074,0.726,19,19,19,7,5,25
98,Detroit Pistons,2013-14,Road,12,29,0.293,693,1036,0.669,23,23,23,19,6,30
99,Golden State Warriors,2013-14,Road,24,17,0.585,661,912,0.725,3,3,3,23,21,26
100,Houston Rockets,2013-14,Road,21,20,0.512,859,1200,0.716,12,12,12,2,1,28
101,Indiana Pacers,2013-14,Road,21,20,0.512,718,935,0.768,12,12,12,14,16,10
102,Los Angeles Clippers,2013-14,Road,23,18,0.561,820,1125,0.729,4,4,4,4,3,24
103,Los Angeles Lakers,2013-14,Road,13,28,0.317,705,935,0.754,22,22,22,15,16,17
104,Memphis Grizzlies,2013-14,Road,23,18,0.561,570,781,0.73,4,4,4,30,29,23
105,Miami Heat,2013-14,Road,22,19,0.537,703,921,0.763,8,8,8,16,19,13
106,Milwaukee Bucks,2013-14,Road,5,36,0.122,699,937,0.746,29,29,29,17,15,20
107,Minnesota Timberwolves,2013-14,Road,16,25,0.39,871,1128,0.772,17,17,17,1,2,9
108,New Orleans Pelicans,2013-14,Road,12,29,0.293,723,947,0.763,23,23,23,12,14,12
109,New York Knicks,2013-14,Road,18,23,0.439,607,794,0.764,15,15,15,27,28,11
110,Oklahoma City Thunder,2013-14,Road,25,16,0.61,819,1000,0.819,2,2,2,5,7,1
111,Orlando Magic,2013-14,Road,4,37,0.098,621,830,0.748,30,30,30,26,27,19
112,Philadelphia 76ers,2013-14,Road,9,32,0.22,671,932,0.72,26,26,26,21,18,27
113,Phoenix Suns,2013-14,Road,22,19,0.537,735,963,0.763,8,8,8,11,13,14
